Common_Name,Symbol,Scientific_Name_x,Scientific_Name_y,Species,Category,Family,Family_Common_Name,xOrder,SubClass,Class,SubDivision,Division,SuperDivision,SubKingdom,Kingdom,Duration,Growth_Habit,Growth_Rate,Height_Mature_feet,Lifespan,Toxicity,Temperature_Minimum_F,Bloom_Period,Fruit_Seed_Period_Begin,Fruit_Seed_Period_End,Fruit_Seed_Abundance
Jeffrey pine,PIJE,Pinus jeffreyi Balf.,Pinus jeffreyi,jeffreyi,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,180,Long,None,-38,Late Spring,Spring,Summer,Medium
singleleaf pinyon,PIMO,Pinus monophylla Torr. & Frém.,Pinus monophylla,monophylla,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,50,Long,Slight,-23,Mid Spring,Summer,Fall,Medium
western white pine,PIMO3,Pinus monticola Douglas ex D. Don,Pinus monticola,monticola,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,200,Long,None,-33,Mid Spring,Summer,Fall,High
Austrian pine,PINI,Pinus nigra Arnold,Pinus nigra,nigra,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,120,Long,None,-38,Late Spring,Summer,Fall,High
ponderosa pine,PIPO,Pinus ponderosa Lawson & C. Lawson,Pinus ponderosa,ponderosa,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,223,Long,None,-36,Mid Spring,Summer,Fall,High
blue spruce,PIPU,Picea pungens Engelm.,Picea pungens,pungens,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,100,Long,None,-38,Late Spring,Summer,Fall,High
California foothill pine,PISA2,Pinus sabiniana Douglas ex Douglas,Pinus sabiniana,sabiniana,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,80,Moderate,None,12,Early Spring,Summer,Fall,High
Scots pine,PISY,Pinus sylvestris L.,Pinus sylvestris,sylvestris,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,110,Moderate,None,-36,Mid Spring,Summer,Fall,High
loblolly pine,PITA,Pinus taeda L.,Pinus taeda,taeda,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,100,Moderate,None,-8,Mid Spring,Summer,Fall,High
Virginia pine,PIVI2,Pinus virginiana Mill.,Pinus virginiana,virginiana,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,70,Moderate,None,-23,Mid Spring,Summer,Fall,High
James' galleta,PLJA,Pleuraphis jamesii Torr.,Pleuraphis jamesii,jamesii,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Long,None,-23,Mid Summer,Summer,Fall,Medium
common plantain,PLMA2,Plantago major L.,Plantago major,major,Dicot,Plantaginaceae,Plantain family,Plantaginales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,0.3,Short,None,-38,Late Spring,Summer,Fall,Medium
tobosagrass,PLMU3,Pleuraphis mutica Buckley,Pleuraphis mutica,mutica,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,2.3,Long,None,2,Indeterminate,Summer,Fall,Low
woolly plantain,PLPA2,Plantago patagonica Jacq.,Plantago patagonica,patagonica,Dicot,Plantaginaceae,Plantain family,Plantaginales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Forb/herb,Moderate,0.5,,None,52,Mid Spring,Spring,Spring,Medium
big galleta,PLRI3,Pleuraphis rigida Thurb.,Pleuraphis rigida,rigida,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Long,None,12,Late Spring,Summer,Summer,Low
white poplar,POAL7,Populus alba L.,Populus alba,alba,Dicot,Salicaceae,Willow family,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,100,Moderate,None,-38,Early Spring,Spring,Spring,Medium
annual bluegrass,POAN,Poa annua L.,Poa annua,annua,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Graminoid,Rapid,0.3,,None,47,Mid Spring,Spring,Summer,High
narrowleaf cottonwood,POAN3,Populus angustifolia James,Populus angustifolia,angustifolia,Dicot,Salicaceae,Willow family,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,60,Moderate,None,-28,Spring,Summer,Summer,High
tall cinquefoil,POAR7,Potentilla arguta Pursh,Potentilla arguta,arguta,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Moderate,3.0,Short,None,-38,Late Spring,Spring,Summer,Medium
autumn bluegrass,POAU,Poa autumnalis Muhl. ex Elliott,Poa autumnalis,autumnalis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.5,Moderate,None,-8,Late Spring,Summer,Fall,Low
bulbous bluegrass,POBU,Poa bulbosa L.,Poa bulbosa,bulbosa,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.5,Long,None,-33,Late Spring,Summer,Summer,Medium
Canada bluegrass,POCO,Poa compressa L.,Poa compressa,compressa,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-38,Mid Spring,Spring,Summer,Medium
Davis' knotweed,PODA,Polygonum davisiae W.H. Brewer ex A. Gray,Polygonum davisiae,davisiae,Dicot,Polygonaceae,Buckwheat family,Polygonales,Caryophyllidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Moderate,1.3,Moderate,None,-23,Early Summer,Summer,Summer,Low
eastern cottonwood,PODE3,Populus deltoides W. Bartram ex Marshall,Populus deltoides,deltoides,Dicot,Salicaceae,Willow family,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,190,Short,None,-43,Spring,Spring,Spring,High
plains cottonwood,PODEM,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,Populus deltoides ssp. monilifera,deltoides,Dicot,Salicaceae,Willow family,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,85,Short,None,-43,Mid Spring,Spring,Spring,High
varileaf cinquefoil,PODI2,Potentilla diversifolia Lehm.,Potentilla diversifolia,diversifolia,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,3.0,Moderate,None,-33,Late Spring,Summer,Summer,High
muttongrass,POFE,Poa fendleriana (Steud.) Vasey,Poa fendleriana,fendleriana,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.0,Moderate,None,-38,Early Spring,Spring,Fall,Low
muttongrass,POFEF,Poa fendleriana (Steud.) Vasey ssp. fendleriana,Poa fendleriana ssp. fendleriana,fendleriana,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.6,Moderate,None,-33,Mid Spring,Spring,Summer,Low
sticky cinquefoil,POGL9,Potentilla glandulosa Lindl.,Potentilla glandulosa,glandulosa,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Subshrub, Forb/herb",Moderate,1.5,Moderate,None,-33,Late Spring,Spring,Summer,Medium
Leiberg's bluegrass,POLE,Poa leibergii Scribn.,Poa leibergii,leibergii,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.5,Moderate,None,-23,Late Spring,Summer,Summer,Medium
marsh bluegrass,POLE2,Poa leptocoma Trin.,Poa leptocoma,leptocoma,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,2.0,Moderate,None,-28,Late Spring,Summer,Summer,Medium
seashore bluegrass,POMA26,Poa macrantha Vasey,Poa macrantha,macrantha,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,0.4,Moderate,None,24,Late Winter,Spring,Spring,Low
annual rabbitsfoot grass,POMO5,Polypogon monspeliensis (L.) Desf.,Polypogon monspeliensis,monspeliensis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Annual,Graminoid,Rapid,1.7,,None,52,Late Spring,Summer,Summer,Medium
Wheeler bluegrass,PONE2,Poa nervosa (Hook.) Vasey,Poa nervosa,nervosa,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.8,Moderate,None,-18,Late Spring,Summer,Summer,Medium
Lombardy poplar,PONI,Populus nigra L.,Populus nigra,nigra,Dicot,Salicaceae,Willow family,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,190,Short,None,-28,Early Spring,Spring,Spring,
fowl bluegrass,POPA2,Poa palustris L.,Poa palustris,palustris,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,4.0,Moderate,None,-38,Mid Spring,Spring,Summer,Medium
Platte River cinquefoil,POPL,Potentilla plattensis Nutt.,Potentilla plattensis,plattensis,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,0.5,Short,,-38,Late Spring,Summer,Summer,Medium
Kentucky bluegrass,POPR,Poa pratensis L.,Poa pratensis,pratensis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.5,Long,None,-38,Mid Spring,Spring,Summer,High
Sandberg bluegrass,POSE,Poa secunda J. Presl,Poa secunda,secunda,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,1.4,Moderate,None,-36,Late Spring,Summer,Summer,Low
woodland bluegrass,POSY,Poa sylvestris A. Gray,Poa sylvestris,sylvestris,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,3.0,Moderate,None,-33,Mid Spring,Spring,Summer,Medium
rough bluegrass,POTR2,Poa trivialis L.,Poa trivialis,trivialis,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Moderate,2.5,Moderate,None,-28,Early Spring,Summer,Summer,Medium
quaking aspen,POTR5,Populus tremuloides Michx.,Populus tremuloides,tremuloides,Dicot,Salicaceae,Willow family,Salicales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,65,Short,None,-70,Mid Spring,Spring,Summer,High
American plum,PRAM,Prunus americana Marshall,Prunus americana,americana,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,24,Long,Slight,-38,Mid Spring,Summer,Fall,Medium
Chickasaw plum,PRAN3,Prunus angustifolia Marshall,Prunus angustifolia,angustifolia,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,12,Long,Slight,-28,Early Spring,Summer,Summer,Medium
bitter cherry,PREM,Prunus emarginata (Douglas ex Hook.) D. Dietr.,Prunus emarginata,emarginata,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,80,Long,None,-23,Mid Spring,Summer,Fall,High
desert almond,PRFA,Prunus fasciculata (Torr.) A. Gray,Prunus fasciculata,fasciculata,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Slow,6.0,Moderate,Slight,12,Early Spring,Summer,Fall,Medium
honey mesquite,PRGLG,Prosopis glandulosa Torr. var. glandulosa,Prosopis glandulosa var. glandulosa,glandulosa,Dicot,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,50,Long,None,-13,Early Spring,Summer,Summer,High
hollyleaf cherry,PRILL,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr. ssp. lyonii (Eastw.) P.H. Raven,Prunus ilicifolia ssp. lyonii,ilicifolia,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,40,Moderate,None,32,Late Spring,Summer,Fall,High
silvery primrose,PRIN,Primula incana M.E. Jones,Primula incana,incana,Dicot,Primulaceae,Primrose family,Primulales,Dilleniidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.2,Moderate,None,-33,Late Spring,Summer,Summer,High
beach plum,PRMA2,Prunus maritima Marshall,Prunus maritima,maritima,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Moderate,12,Long,None,-33,Late Spring,Summer,Summer,Medium
European bird cherry,PRPA5,Prunus padus L.,Prunus padus,padus,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,30,Moderate,None,-33,Spring,Summer,Summer,High
sandcherry,PRPU3,Prunus pumila L.,Prunus pumila,pumila,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Slow,6.0,Long,None,-33,Late Spring,Summer,Summer,Medium
western sandcherry,PRPUB,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,Prunus pumila var. besseyi,pumila,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Moderate,3.0,Moderate,None,-38,Early Spring,Summer,Summer,Medium
black cherry,PRSE2,Prunus serotina Ehrh.,Prunus serotina,serotina,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,80,Moderate,Severe,-33,Late Spring,Summer,Summer,High
black cherry,PRSER2,Prunus serotina Ehrh. var. rufula (Wooton & Standl.) McVaugh,Prunus serotina var. rufula,serotina,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,40,Long,Severe,-23,Early Spring,Summer,Fall,Medium
Klamath plum,PRSU2,Prunus subcordata Benth.,Prunus subcordata,subcordata,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,25,Moderate,Slight,-28,Early Spring,Spring,Fall,Medium
chokecherry,PRVI,Prunus virginiana L.,Prunus virginiana,virginiana,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,25,Short,Severe,-43,Mid Spring,Summer,Summer,High
western chokecherry,PRVID,Prunus virginiana L. var. demissa (Nutt.) Torr.,Prunus virginiana var. demissa,virginiana,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Rapid,20,Short,Severe,-38,Spring,Summer,Summer,High
Russian wildrye,PSJU3,Psathyrostachys juncea (Fisch.) Nevski,Psathyrostachys juncea,juncea,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Moderate,None,-43,Early Spring,Spring,Spring,High
Douglas-fir,PSME,Pseudotsuga menziesii (Mirb.) Franco,Pseudotsuga menziesii,menziesii,Gymnosperm,Pinaceae,Pine family,Pinales,,Pinopsida,,Coniferophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,200,Long,None,-33,Mid Spring,Summer,Fall,High
bluebunch wheatgrass,PSSPS,Pseudoroegneria spicata (Pursh) Á. Löve ssp. spicata,Pseudoroegneria spicata ssp. spicata,spicata,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Rapid,3.0,Long,None,-38,Early Summer,Summer,Summer,High
Sierra false needlegrass,PTKI,Ptilagrostis kingii (Bol.) Barkworth,Ptilagrostis kingii,kingii,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,1.4,Moderate,None,-23,Early Summer,Summer,Fall,Medium
desert bitterbrush,PUGL2,Purshia glandulosa Curran,Purshia glandulosa,glandulosa,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Slow,5.0,Moderate,None,-13,Spring,Summer,Fall,Medium
pomegranate,PUGR2,Punica granatum L.,Punica granatum,granatum,Dicot,Punicaceae,Pomegranate family,Myrtales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,20,Moderate,None,-13,Spring,Summer,Fall,High
Nuttall's alkaligrass,PUNU2,Puccinellia nuttalliana (Schult.) Hitchc.,Puccinellia nuttalliana,nuttalliana,Monocot,Poaceae,Grass family,Cyperales,Commelinidae,Liliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Graminoid,Slow,0.8,Short,None,-38,Late Spring,Summer,Summer,Low
Stansbury cliffrose,PUST,Purshia stansburiana (Torr.) Henrickson,Purshia stansburiana,stansburiana,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Moderate,25,Moderate,None,-23,Mid Spring,Summer,Fall,Medium
antelope bitterbrush,PUTR2,Purshia tridentata (Pursh) DC.,Purshia tridentata,tridentata,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Moderate,6.0,Long,None,-36,Early Spring,Spring,Summer,Medium
common pear,PYCO,Pyrus communis L.,Pyrus communis,communis,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,50,Short,None,-18,Early Spring,Summer,Summer,Medium
scarlet firethorn,PYCO2,Pyracantha coccinea M. Roem.,Pyracantha coccinea,coccinea,Dicot,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Shrub,Rapid,8.0,Moderate,None,12,Late Spring,Summer,Fall,High
white oak,QUAL,Quercus alba L.,Quercus alba,alba,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Slow,100,Long,None,-43,Mid Spring,Summer,Fall,High
swamp white oak,QUBI,Quercus bicolor Willd.,Quercus bicolor,bicolor,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,100,Long,None,-28,Early Spring,Summer,Fall,Medium
canyon live oak,QUCH2,Quercus chrysolepis Liebm.,Quercus chrysolepis,chrysolepis,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,90,Long,None,11,Late Spring,Summer,Fall,Medium
scarlet oak,QUCO2,Quercus coccinea Münchh.,Quercus coccinea,coccinea,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,70,Long,None,-28,Mid Spring,Summer,Fall,Medium
Gambel oak,QUGA,Quercus gambelii Nutt.,Quercus gambelii,gambelii,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,40,Long,None,-43,Mid Spring,Summer,Fall,Medium
Oregon white oak,QUGA4,Quercus garryana Douglas ex Hook.,Quercus garryana,garryana,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,80,Long,Slight,-33,Mid Spring,Summer,Fall,Medium
California black oak,QUKE,Quercus kelloggii Newberry,Quercus kelloggii,kelloggii,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,85,Long,None,-3,Late Spring,Fall,Summer,Low
turkey oak,QULA2,Quercus laevis Walter,Quercus laevis,laevis,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,40,Short,None,-3,Late Spring,Summer,Fall,Medium
laurel oak,QULA3,Quercus laurifolia Michx.,Quercus laurifolia,laurifolia,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,70,Short,None,-3,Early Spring,Summer,Fall,Medium
valley oak,QULO,Quercus lobata Née,Quercus lobata,lobata,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Rapid,100,Moderate,None,7,Early Spring,Summer,Fall,Medium
overcup oak,QULY,Quercus lyrata Walter,Quercus lyrata,lyrata,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,80,Long,None,-23,Mid Spring,Summer,Fall,Medium
bur oak,QUMA2,Quercus macrocarpa Michx.,Quercus macrocarpa,macrocarpa,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,"Tree, Shrub",Slow,100,Long,None,-38,Mid Spring,Summer,Fall,Low
swamp chestnut oak,QUMI,Quercus michauxii Nutt.,Quercus michauxii,michauxii,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,80,Moderate,None,-20,Mid Spring,Summer,Fall,Medium
black oak,QUVE,Quercus velutina Lam.,Quercus velutina,velutina,Dicot,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Tree,Moderate,80,Moderate,None,-30,Early Spring,Spring,Fall,High
plantainleaf buttercup,RAAL,Ranunculus alismifolius Geyer ex Benth.,Ranunculus alismifolius,alismifolius,Dicot,Ranunculaceae,Buttercup family,Ranunculales,Magnoliidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,2.0,Long,Moderate,-33,Mid Spring,Spring,Summer,Medium
upright prairie coneflower,RACO3,Ratibida columnifera (Nutt.) Wooton & Standl.,Ratibida columnifera,columnifera,Dicot,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,3.1,Moderate,None,-43,Mid Summer,Summer,Fall,Medium
alkali buttercup,RACY,Ranunculus cymbalaria Pursh,Ranunculus cymbalaria,cymbalaria,Dicot,Ranunculaceae,Buttercup family,Ranunculales,Magnoliidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.0,Moderate,None,-38,Late Spring,Spring,Summer,Medium
Eschscholtz's buttercup,RAES,Ranunculus eschscholtzii Schltdl.,Ranunculus eschscholtzii,eschscholtzii,Dicot,Ranunculaceae,Buttercup family,Ranunculales,Magnoliidae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,Perennial,Forb/herb,Moderate,1.0,Short,Moderate,-33,Early Summer,Summer,Summer,Medium
